"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:NEED_SURGERY","I hope you are not in same place as me.","私と同じ立場にならないといいですね。"
"traveler:LOVE_SONG","I will leave this here.","これ置いていきますね。"
"traveler:LOVE_SONG","Great!","素晴らしい！"
"traveler:LOVE_SONG","You really super guy!~","あなたは本当にイケてますね。"
"traveler:LOVE_SONG","Can I have note back now?","その手紙返してくれますか？"
"traveler:LOVE_SONG","I need it for next inspector.","次の審査官に渡さないとダメだから。"
"traveler:LOVE_SONG","But I give you such lovely note!","あんなステキな手紙渡したのに！"
"traveler:LOVE_SONG","Thanks and like I say, you super guy.","ありがとう、そして貴方はホントにイケてます。"
"traveler:LOVE_SONG","Do not forget.","どうか忘れないで。"
"traveler:LOVE_SONG","Is too much?","やり過ぎですか？"
"traveler:LOVE_SONG","@Yes.","@はい。"
"traveler:LOVE_SONG","Is too much. I can see that now.","やり過ぎ。わかった。"
"traveler:LOVE_SONG","Next time I make couple copies first.","次いくつかコピーしたら来ます。"
"traveler:LOVE_SONG_LONELY","Life sucks.","人生最悪。"
"traveler:LOVE_SONG_LONELY","Nobody loves me.","誰も愛してくれない。"
"traveler:LOVE_SONG_LONELY","For me?","私に？"
"traveler:LOVE_SONG_LONELY","Like fire?","炎のよう？"
"traveler:LOVE_SONG_LONELY","Object of desire?","欲望そのもの？"
"traveler:LOVE_SONG_LONELY","Wow, nobody say such nice things!","いやぁ、こんなこと今まで言われたことがない！"
"traveler:LOVE_SONG_LONELY","Part about visa is confusing but rest is very powerful.","ビザのところはよくわからない<br>けど、あとはグッと来ます。"
"traveler:LOVE_SONG_LONELY","Thank you!","ありがとう！"
"traveler:LOVE_SONG_LONELY","Thank you again!","ホントにありがとう！"
"traveler:LOVE_SONG_LONELY","Thanks I guess.","どうも。"
"traveler:LOVE_SONG_LONELY","No problem!","ダイジョウブ！"
"traveler:LOVE_SONG_LONELY","Today is good day anyway!","今日はいい日だからね！"
"traveler:LOVE_SONG_LONELY","Even you hate me.","あなたにも嫌われたか。"
"traveler:LOVE_SONG_LONELY","Some guy I do not even know.","知りもしない人なのに。"
"traveler:KOLECHIAN_HATER","It was a mistake to open this checkpoint.","この検問所が開かれたのが間違いだった。"
"traveler:FINALLY_RETURN_HOME","Finally I can return home.","ようやく家に帰れる。"
"traveler:FINALLY_RETURN_HOME","You bastard.","このヤロウ。"
"traveler:FINALLY_RETURN_HOME","Thank you.","ありがとう。"
"traveler:SMALL_CHECKPOINT","This checkpoint is smaller than I expected.","ここの検問所は思ったよりも小さいですね。"
"traveler:WAITED_FOREVER","I have waited in this damn line since for 8 hours.","8時間もこんな長い列で待ちました。"
"traveler:WAITED_FOREVER","I hope it was worth it.","それだけの価値があるといいです。"
"traveler:WAITED_FOREVER","Unbelievable. Go to hell.","信じられない。地獄落ちろ。"
"traveler:HURRY_UP","Hurry up.","急いで。"
"traveler:HURRY_UP","I am meeting bus soon.","すぐバスに乗る。"
"traveler:HURRY_UP","What is this?","何ですか？"
"traveler:HURRY_UP","Finally.","やっとか。"
"traveler:GLAD_YOU_HAVE_JOB","I heard about terrorist attack.","テロリストの襲撃があったと聞きました。"
"traveler:GLAD_YOU_HAVE_JOB","You are lucky to have a job still.","まだ仕事があるって幸せですよ。"
"traveler:GLAD_YOU_HAVE_JOB","Be safe.","気をつけて。"
"traveler:TICKET_NOT_PERMIT","What? I do not know. To visit?","何？わかりません。観光です。"
"traveler:TICKET_NOT_PERMIT","A few days maybe.","数日間だと思います。"
"traveler:TICKET_NOT_PERMIT","Entry permit? I have ticket here.","入国許可証？入国券はこれです。"
"traveler:TICKET_NOT_PERMIT","Let me through.","通して下さい。"
"traveler:TICKET_NOT_PERMIT","@Ticket is not enough any more.","@入国券はもう使えません。"
"traveler:TICKET_NOT_PERMIT","@Get a permit.","@入国許可証を持ってきて下さい。"
"traveler:TICKET_NOT_PERMIT","Bullshit!","うそだ！"
"traveler:TICKET_NOT_PERMIT","I paid good money for ticket.","この入国券高かったのに。"
"traveler:VISIT_SON","I am so happy that the border has opened.","国境が開けて、とてもうれしい。"
"traveler:VISIT_SON","I will visit my son. I have not seen him in six years. [Speech/Purpose]","息子に会いに行くのです。6年も彼と会っていない。[Speech/Purpose]"
"traveler:VISIT_SON","6 months. [Speech/Duration]","6ヶ月です。[Speech/Duration]"
"traveler:VISIT_SON","Please, let me pass. My son is waiting.","通して。息子が待ってる。"
"traveler:VISIT_SON","Thank you.","ありがとう。"
"traveler:VISIT_SON","Curse you.","最悪だ。"
"traveler:DETAIN_FIRST","Hey wait.","待って待って。"
"traveler:DETAIN_FIRST","Do not arrest me, please.","拘束するな。お願い。"
"traveler:DETAIN_FIRST","Just deny my passport and I will go away.","パスポートを拒否して。それで帰る。"
"traveler:HATE_COUNTRY","It is not my choice. I hate this damn country.","来たくて来たんじゃない。こんなサイテーの国。"
"traveler:HATE_COUNTRY","I am just passing through. [Speech/Purpose]","通過するだけです。 [Speech/Purpose]"
"traveler:HATE_COUNTRY","As little as possible. 2 days. [Speech/Duration]","できるだけ短期間。2日。 [Speech/Duration]"
"traveler:HATE_COUNTRY","Ugh.","はぁ。"
"traveler:HATE_COUNTRY","Just as well.","むしろ良かった。"
"traveler:SEARCH_BRIBE_INTRO","Slow down my friend.","まあ、聞いてよ。"
"traveler:SEARCH_BRIBE_INTRO","I have only harmless medicine.","何でもない薬を持っているだけだ。"
"traveler:SEARCH_BRIBE_INTRO","I give you 10 credits to let me through.","10クレジットやる。通せ。"
"traveler:SEARCH_BRIBE_INTRO","Excellent.","よし。"
"traveler:SEARCH_BRIBE_INTRO","As I promised.","約束のもの。"
"traveler:SEARCH_BRIBE_INTRO","Why you turn down good money?","こんな金をなんで受け取らない？"
"traveler:SEARCH_BRIBE_INTRO","@You are lucky to escape arrest.","@逮捕されなくてラッキーでしたね。"
"traveler:SEARCH_BRIBE_INTRO","@Do not come back.","@もう来ないで下さい。"
"traveler:SEARCH_BRIBE_INTRO","@You cannot bribe an officer of Arstotzka.","@アルストツカの役人に賄賂は通用しませんよ。"
"traveler:SEARCH_BRIBE_INTRO","They must pay well for such obedience, dog.","頭良い犬には、払いもいいんだろう。"
"traveler:TWO_PASSPORTS","Shit!","おっと！"
"traveler:TWO_PASSPORTS","I make small mistake.","ちょっと間違えた。"
"traveler:TWO_PASSPORTS","Please give documents back.","書類返して下さい。"
"traveler:TWO_PASSPORTS","@Why do you have two passports?","@なぜパスポートを2つお持ちで？"
"traveler:TWO_PASSPORTS","Is funny story.","おかしな話です。"
"traveler:TWO_PASSPORTS","I tell you everything.","全部説明します。"
"traveler:TWO_PASSPORTS","First, you give papers back to me.","まずは、書類を返して下さい。"
"traveler:TWO_PASSPORTS","And the others?","他のは？"
"traveler:TWO_PASSPORTS","Last one please.","最後のも。お願いです。"
"traveler:IDSUPPLEMENT_COMPLAIN","This id supplement is total pain.","この身分証明補足書はまったくヒドイです。"
"traveler:IDSUPPLEMENT_COMPLAIN","Was not easy to get and only lasts few days.","取るのは大変だけど、数日しか使えない。"
"traveler:IDSUPPLEMENT_COMPLAIN","You Arstotzkans just make it harder and harder.","アルストツカ人はどんどん難しくする。"
"traveler:IDSUPPLEMENT_COMPLAIN","Why even have open border?","なぜ国境を開けたんですか？"
"traveler:IDSUPPLEMENT_COMPLAIN","Bah.","ふん！"
"traveler:IDSUPPLEMENT_COMPLAIN","Would be better to spend money on bribe.","ワイロにカネを使った方がよかった。"
"traveler:IDSUPPLEMENT_COMPLAIN","Less trouble and faster.","早い。問題も少ない。"
"traveler:IDSUPPLEMENT_COMPLAIN","I knew it would not even work.","ダメだと思ってた。"
"traveler:CRIMINAL_FIRST","@Funny to see you here.","@こんな所でお会いするとはね。"
"traveler:CRIMINAL_FIRST","@Just when starting to look for criminals.","@いつから指名手配犯のようなお顔に？"
"traveler:CRIMINAL_FIRST","Criminals?","指名手配？"
"traveler:CRIMINAL_FIRST","What are you saying?","何のことだ？"
"traveler:DENIAL_REASON_FIRST","Denied?","拒否？"
"traveler:DENIAL_REASON_FIRST","For what reason?","どういう理由で？"
"traveler:DENIAL_REASON_FIRST","@It is clearly stamped there.","@この印の通りです。"
"traveler:DENIAL_REASON_FIRST","Oh.~","ふーん。~"
"traveler:DENIAL_REASON_FIRST","Screw you anyways.","クソくらえ。"
"traveler:NO_IMPORIANS_FIRST","@Imporians are prohibited from entering.","@インポール人は入国が禁じられています。"
"traveler:NO_IMPORIANS_DAY","@Imporians are prohibited from entering.","@インポール人は入国が<br>禁じられています。"
"traveler:NO_UNITEDFED_FIRST","@Do not bring your sickness to Arstotzka.","@アルストツカに病気を持ち込まないで下さい。"
"traveler:NO_UNITEDFED_FIRST","What?","何？"
"traveler:NO_UNITEDFED_FIRST","I am perfectly healthy.","私はまったく健康です。"
"traveler:NO_UNITEDFED_FIRST","It is so easy to deny entry.","入国拒否するのはとても簡単ですね。"
"traveler:NO_UNITEDFED_FIRST","All this paperwork is wasted.","この書類、全部ゴミになった。"
"traveler:NO_UNITEDFED","@Do not bring your sickness to Arstotzka.","@アルストツカに病気を持ち込まないで下さい。"
"traveler:NO_UNITEDFED","What?","何？"
"traveler:NO_UNITEDFED","I am perfectly healthy.","私はまったく健康です。"
"traveler:NO_UNITEDFED","It is so easy to deny entry.","入国拒否するのはとても簡単ですね。"
"traveler:NO_UNITEDFED","All this paperwork is wasted.","この書類、全部ゴミになった。"
"traveler:CONFISCATION_DISTRICT_FIRST","Thank you. It is good to be back home.","ありがとう。帰れて嬉しいよ。"
"traveler:CONFISCATION_DISTRICT_FIRST","I am leaving for trip soon so I just need my passport back.","またすぐに旅に出ますから、パスポートを返してください。"
"traveler:CONFISCATION_DISTRICT_FIRST","@It is being confiscated.","@押収されました。"
"traveler:CONFISCATION_DISTRICT_FIRST","What do you mean?","どういうことですか？"
"traveler:CONFISCATION_DISTRICT_FIRST","@Contact number on slip for recovery.","@取還については、伝票の番号に問合せて下さい。"
"traveler:CONFISCATION_DISTRICT_FIRST","You can just hand it back.","いや、返してくれればいいんですよ。"
"traveler:CONFISCATION_DISTRICT_FIRST","@It has been filed. I cannot give it back.","@既に処理済みです。返却はできません。"
"traveler:CONFISCATION_DISTRICT_FIRST","I am not leaving without passport.","パスポートをもらわずには帰れませんよ。"
"traveler:CONFISCATION_DISTRICT_FIRST","Where is my passport?","パスポートはどこです？"
"traveler:CONFISCATION_DISTRICT_FIRST","You deny entry and take passport?","入国を拒否した上に、パスポートも奪うんですか？"
"traveler:CONFISCATION_DISTRICT_FIRST","What am I supposed to do?","どうしたらいいんですか？"
"traveler:CONFISCATION_DISTRICT_FIRST","@Contact number on slip.","@伝票の番号まで、お問合せを。"
"traveler:CONFISCATION_DISTRICT_FIRST","You cannot do this to me!","こんなことしていいはずがないだろ！"
"traveler:CONFISCATION_DISTRICT_FIRST","I am Arstotzkan citizen.","私はアルストツカ人だぞ。"
"traveler:CONFISCATION_DISTRICT_FIRST","I have right to travel freely.","自由に行き来できるはずだ。"
"traveler:WHISTLEBLOWER","Thank you.","ありがとうございます。"
"traveler:WHISTLEBLOWER","I hope that things are better here.","ここがマシだといいですが。"
"traveler:WHISTLEBLOWER","What? I was promised asylum here.","え？亡命できると言われて来ました。"
"traveler:WHISTLEBLOWER","I have nowhere else to go.","他にどこにも行くところがありません。"
"traveler:WHISTLEBLOWER","@This is not my problem.","@私の問題ではないですから。"
"traveler:ACCESSPERMIT_FIRST","You Arstotzkans keep changing rules here.","アルストツカ人はすぐに規則を変えますね。"
"traveler:ACCESSPERMIT_FIRST","My sister came through last week with different documents.","私の姉、別の書類で確かに先週通れました。"
"traveler:ACCESSPERMIT_FIRST","Now I need new access permit.","今、新しい入境許可証が必要です。"
"traveler:ACCESSPERMIT_FIRST","Costs twice as much as before.","前の2倍のお金がかかりますよ。"
"traveler:ACCESSPERMIT_WRONG","What the hell is access permit?","入境許可証って一体何ですか？"
"traveler:ACCESSPERMIT_WRONG","Do you mean entry permit?","入国許可証のことを言っていますか？"
"traveler:ACCESSPERMIT_WRONG","I have it there.","それは持っています。"
"traveler:ACCESSPERMIT_WRONG","@I mean access permit.","@いえ、入境許可証です。"
"traveler:ACCESSPERMIT_WRONG","Never heard of it. Sounds stupid.","それ聞いたことない。おかしいな。"
"traveler:ACCESSPERMIT_WRONG","@Entry permit and supplement are no longer accepted.","@入国許可証と身分証明補足書では、もう承認されません。"
"traveler:ACCESSPERMIT_WRONG","@Access permit replaces them.","@入境許可証がその代わりなんです。"
"traveler:ACCESSPERMIT_WRONG","@Makes my job easier.","@私の仕事が楽になります。"
"traveler:ACCESSPERMIT_WRONG","I do not care about your job.","あなたの仕事は知らないよ。"
"traveler:ACCESSPERMIT_WRONG","Damnit.","クソ。"
"traveler:STRICT_BORDER","I've heard this is very strict checkpoint.","ここの検問所、とても厳しいと聞きました。"
"traveler:STRICT_BORDER","I am glad my papers are in order.","書類を揃えることができて良かったです。"
"traveler:DESPERATE_BEFORECLOSE","I have heard the border will close.","国境が閉鎖されると聞きました。"
"traveler:DESPERATE_BEFORECLOSE","My access permit will not arrive in time.","入境許可証が時間までに来なかったのです。"
"traveler:DESPERATE_BEFORECLOSE","Please have mercy.","お願いですから、慈悲を。"
"traveler:DESPERATE_BEFORECLOSE","Yes I know. I just told you that.","わかってます。それをあなたに話しました。"
"traveler:DESPERATE_BEFORECLOSE","I am afraid the border will close before I can enter.","入る前にきっと国境が閉鎖されるのではと心配です。"
"traveler:WALLCOMMENT_PLAQUEONE","What is this plaque on the wall?","壁にかかってる額は何です？"
"traveler:WALLCOMMENT_PLAQUEONE","You are recognized for presence?","可、ですか。"
"traveler:WALLCOMMENT_PLAQUEONE","Way to go.","頑張りましたね。"
"traveler:WALLCOMMENT_PLAQUEONE","What is this on the wall?","壁にかかってるこれは何です？"
"traveler:WALLCOMMENT_PLAQUEONE","Recognized for sufficience?","評価、良？"
"traveler:WALLCOMMENT_PLAQUEONE","Impressive. Why even bother with plaque?","スゴイですね。評価は気にしなくていいですよ。"
"traveler:WALLCOMMENT_PLAQUEONE","You are recognized for excellence?","優として評価されたんですか？"
"traveler:WALLCOMMENT_PLAQUEONE","I hope they give you raise and not just plaque.","額だけじゃなくてお金も上げてくれるといいですね。"
"traveler:WALLCOMMENT_PLAQUEONE","Find a better plaque.","もっと良い額を探して。"
"traveler:WALLCOMMENT_PLAQUEONE","This one looks like cheap shit.","これはチープなおもちゃみたい。"
"traveler:WALLCOMMENT_PLAQUEONE","Figures.","似てますね。"
"traveler:WALLCOMMENT_PLAQUEONE","You are like this plaque.","あなたと、この額ですよ。"
"traveler:WALLCOMMENT_PLAQUEONE","Cheap shit.","ただの安物。"
"traveler:WALLCOMMENT_PLAQUEONE","What the hell?","クソが。"
"traveler:WALLCOMMENT_ARSKICKER","Nice banner!","かっこいいペナントだ！"
"traveler:WALLCOMMENT_ARSKICKER","I remember that game.","あの試合は覚えています。"
"traveler:WALLCOMMENT_ARSKICKER","Intense.","白熱したな。"
"traveler:WALLCOMMENT_ARSKICKER","Go Arskickers!","ゴー、アルスキッカーズ！"
"traveler:WALLCOMMENT_ARSKICKER","What the hell?","ちくしょう。"
"traveler:WALLCOMMENT_ARSKICKER","I thought we have Arskickers connection.","アルスキッカー仲間だと思ったのに。"
"traveler:WALLCOMMENT_SONDRAWING","What is this drawing on the wall?","この壁の絵は何ですか？"
"traveler:WALLCOMMENT_SONDRAWING","My dog can do better.","うちの犬の方が上手い。"
"traveler:WALLCOMMENT_SONDRAWING","@It is from my son.","@息子がくれたんです。"
"traveler:WALLCOMMENT_SONDRAWING","Oh.~","あぁ。~"
"traveler:WALLCOMMENT_SONDRAWING","Maybe he should try sports.","スポーツをした方がいいでしょうね。"
"traveler:WALLCOMMENT_SONDRAWING","Thanks.","ありがとう。"
"traveler:WALLCOMMENT_SONDRAWING","The drawing is not so bad really.","絵はそんなに悪くないです。"
"traveler:WALLCOMMENT_SONDRAWING","I was just in rough mood. Sorry.","ちょっと機嫌が悪かった。<br>ごめんなさい。"
"traveler:WALLCOMMENT_SONDRAWING","Huh?","はあ？"
"traveler:WALLCOMMENT_SONDRAWING","You deny me for comment about drawing, right?","絵にコメントしたから拒否したんですか？"
"traveler:WALLCOMMENT_SONDRAWING","@The exit is to your right.","@出口は右です。"
"traveler:WALLCOMMENT_SONDRAWING","What are you doing?","何をしてるんですか？"
"traveler:WALLCOMMENT_SONDRAWING","Is this because I make fun of drawing?","これは、絵を笑ったからですか？"
"traveler:WALLCOMMENT_SONDRAWING","I take it back!","取り消します！"
"traveler:WALLCOMMENT_SONDRAWING","Picture should be in museum!","この絵は美術館にあるべきです！"
"traveler:WALLCOMMENT_FAMILYPHOTO","I like picture on wall here.","この壁の写真、好きです。"
"traveler:WALLCOMMENT_FAMILYPHOTO","Reminds me of how my family was.","私も家族を思い出しますね。"
"traveler:WALLCOMMENT_FAMILYPHOTO","Thank you.","ありがとう。"
"traveler:WALLCOMMENT_FAMILYPHOTO","Take care of your family.","家族を大事に。"
"traveler:WALLCOMMENT_FAMILYPHOTO","It is too easy to lose them.","なくすことは簡単ですから。"
"speech:ask-purpose","What is the purpose of your trip?","入国の目的は？"
"speech:state-purpose","Visiting.","観光。"
"speech:state-purpose","Just visiting.","ただの観光。"
"speech:state-purpose","I am visiting relatives.","親戚に会いに来ました。"
"speech:state-purpose","Visiting friends.","友人に会いに。"
"speech:state-purpose","I come for visit.","観光に来ました。"
"speech:state-purpose","Only to visit.","観光に来ただけ。"
"speech:state-purpose","I will visit friends.","友人に会います。"
"speech:state-purpose","Transit.","乗継ぎ。"
"speech:state-purpose","I pass through.","乗継ぎで通るだけです。"
"speech:state-purpose","Transit through the country.","乗継ぎをします。"
"speech:state-purpose","I am transiting to elsewhere.","他の場所への乗継ぎで。"
"speech:state-purpose","Transit through Arstotzka.","アルストツカで乗継ぎです。"
"speech:state-purpose","Passing through.","乗継ぎで通過します。"
"speech:state-purpose","I am in transit.","乗継ぎするんです。"
"speech:state-purpose","Work.","仕事。"
"speech:state-purpose","I come to work.","仕事しに来ました。"
"speech:state-purpose","I have job here.","ここで仕事があります。"
"speech:state-purpose","I plan to work.","働く予定です。"
"speech:state-purpose","Immigrating.","移住。"
"speech:state-purpose","I am immigrating to Arstotzka.","アルストツカに移住します。"
"speech:state-purpose","I will move here.","ここに引っ越すんです。"
"speech:state-purpose","I am coming to live with my husband.","主人と一緒に住むために来ました。"
"speech:state-purpose","I am coming to live with my wife.","妻と一緒に住むために来ました。"
"speech:state-purpose","I am diplomatic envoy.","私は外交使節です。"
"speech:state-purpose","I was called to diplomatic discussions.","外交会談のために呼ばれました。"
"speech:state-purpose","My presence was requested.","召還されて来ました。"
"speech:state-purpose","I am seeking asylum.","亡命を希望してます。"
"speech:state-purpose","I come for political asylum.","政治亡命で来ました。"
"speech:state-purpose","Asylum.","亡命。"
"speech:ask-wrong-purpose","This entry permit is for work.","労働用の入国許可のようですが。"
"speech:ask-wrong-purpose","You are authorized for transit only.","乗継目的でしか認められていませんが。"
"speech:ask-wrong-purpose","You have only a visitors entry permit.","観光目的の入国許可しか出ていませんが。"
"speech:ask-wrong-purpose","This entry permit is for immigrating.","この入国許可は移住用ですよ。"
"speech:ask-wrong-purpose","Your entry purpose does not match up.","入国目的が一致しませんね。"
"speech:ask-wrong-purpose","This entry permit purpose does not match.","入国許可証の入国目的と<br>一致しません。"
"speech:mistake-prefix","Right.","ホントだ。"
"speech:mistake-prefix","I make mistake.","間違いました。"
"speech:mistake-prefix","Yes, of course.","はい、もちろん。"
"speech:mistake-prefix","Apologies.","ゴメンナサイ。"
"speech:wrong-purpose","$mistake-prefix I am just visiting.","$mistake-prefix ただの観光です。"
"speech:wrong-purpose","$mistake-prefix I just pass through.","$mistake-prefix 通過するだけです。"
"speech:wrong-purpose","$mistake-prefix I have come to work.","$mistake-prefix 仕事しに来ました。"
"speech:wrong-purpose","$mistake-prefix I move here permanently.","$mistake-prefix 永住します。"
"speech:ask-duration","Duration of stay?","滞在期間は？"
"speech:random-stay","I stay","滞在します。"
"speech:random-stay","I remain for","います。"
"speech:random-stay","It will be","のつもりです。"
"speech:state-duration","$random-stay forever.","ずっと$random-stay"
"speech:state-duration","$random-stay until I die.","死ぬまで$random-stay"
"speech:state-duration","I don't plan to leave.","去る予定はありません。"
"speech:state-duration","$random-stay just 2 days.","2日だけ$random-stay"
"speech:state-duration","$random-stay couple days.","数日$random-stay"
"speech:state-duration","$random-stay just 14 days.","14日だけ$random-stay"
"speech:state-duration","$random-stay couple weeks.","数週間$random-stay"
"speech:state-duration","$random-stay only two weeks.","2週間だけ$random-stay"
"speech:state-duration","$random-stay 30 days.","30日$random-stay"
"speech:state-duration","$random-stay a few weeks.","何週間か$random-stay"
"speech:state-duration","$random-stay one month.","1ヶ月$random-stay"
"speech:state-duration","$random-stay 60 days.","60日$random-stay"
"speech:state-duration","$random-stay 8 weeks.","8週間$random-stay"
"speech:state-duration","$random-stay couple months.","数ヶ月$random-stay"
"speech:state-duration","$random-stay two months.","2ヶ月$random-stay"
"speech:state-duration","$random-stay 90 days.","90日$random-stay"
"speech:state-duration","$random-stay 12 weeks.","12週間$random-stay"
"speech:state-duration","$random-stay three months.","3ヶ月$random-stay"
"speech:state-duration","$random-stay a few months.","数ヶ月間$random-stay"
"speech:state-duration","$random-stay six months.","6ヶ月$random-stay"
"speech:state-duration","$random-stay half a year.","半年$random-stay"
"speech:state-duration","$random-stay one year.","1年だけ$random-stay"
"speech:state-duration","$random-stay full year.","1年間$random-stay"
"speech:state-duration","$random-stay a year.","1年$random-stay"
"speech:ask-wrong-duration","The length of your stay is different.","滞在期間の長さが違いますが。"
"speech:wrong-duration","$mistake-prefix $state-duration","$mistake-prefix $state-duration"
"speech:ask-forgery-missing","This document is missing its seal.","この書類には印章がありませんね。"
"speech:ask-forgery-missing","There is no seal here.","ここに印章がありません。"
"speech:ask-forgery-missing","I do not see the required seal here.","必要な印章が見当たりません。"
"speech:ask-forgery-wrong","This document is forged.","これは偽造された書類ですね。"
"speech:ask-forgery-wrong","This is a forgery.","これは偽造されていますね。"
"speech:ask-forgery-idcard","This card contains false information.","このカードには誤った情報が記載されています。"
"speech:ask-forgery-diplo","This seal is forged.","この印章は偽造されたものです。"
"speech:ask-forgery-diplo","This seal is not correct.","印章が正しくありません。"
"speech:ask-forgery-asylumgrant","This seal is forged.","偽造された印章です。"
"speech:ask-forgery-asylumgrant","This grant is not sealed properly.","この許可書には正式な押印がありません。"
"speech:ask-wrong-birthdate","These dates do not match.","日付が合っていません。"
"speech:forgery","I have no idea what you are talking about.","何言っているかわからない。"
"speech:forgery","I do not know anything about that.","私、何も知りません。"
"speech:forgery","I do not understand.","わかりません。"
"speech:ask-expired-paper","This document has expired.","この書類は期限切れです。"
"speech:ask-expired-paper","You cannot enter using an expired document.","期限切れの書類では入国できません。"
"speech:expired-permit","I could not come until now.","今日まで来れなかったです。"
"speech:expired-permit","I was busy.","忙しかったから。"
"speech:expired-passport","What? That is mistake. I just renewed it.","え？それは間違いですね。新しくしたばかりです。"
"speech:expired-passport","That must be a typographical error.","印刷のミスに違いないです。"
"speech:expired-asylumgrant","There was nothing I could do.","私にできることなかったです。"
"speech:expired-asylumgrant","My travel was difficult.","とても厳しい旅でした。"
"speech:expired-asylumgrant","Please, have mercy.","お願い。憐みを。"
"speech:ask-missing-passport","Where is passport?","パスポートは？"
"speech:ask-missing-passport","A passport is required.","パスポートが必要です。"
"speech:missing-passport","They took away my passport.","パスポート取られました。"
"speech:missing-passport","What is passport?","パスポートとは何です？"
"speech:ask-missing-entrypermit","Where is the entry permit?","入国許可証は？"
"speech:ask-missing-entrypermit","You have no entry permit.","入国許可証がありませんね。"
"speech:ask-missing-entrypermit","The entry permit is missing.","入国許可証が足りません。"
"speech:missing-permit","I was not able to get one.","もらうことできなかった。"
"speech:missing-permit","What is that?","それは何です？"
"speech:missing-permit","Do I need one?","それがいるですか？"
"speech:missing-permit","Is required?","いるのですか？"
"speech:missing-permit","I lost it.","なくした。"
"speech:missing-permit","I did not know it was required.","いるの知らなかった。"
"speech:ask-missing-workpermit","Where is the work pass?","労働許可証は？"
"speech:ask-missing-workpermit","You have no work pass.","労働許可証がありませんね。"
"speech:ask-missing-workpermit","The work pass is missing.","労働許可証が足りません。"
"speech:missing-workpermit","I will get one after I enter.","入った後にもらいます。"
"speech:ask-missing-idcard","Where is your id card?","IDカードは？"
"speech:ask-missing-idcard","I need your id card.","IDカードが必要です。"
"speech:missing-idcard","I never got one.","もらってないです。"
"speech:missing-idcard","I left before they were issued.","発行される前に出ました。"
"speech:missing-idcard","I lost it.","なくしました。"
"speech:ask-missing-idsupplement","You must carry an id supplement.","身分証明補足書が必要です。"
"speech:ask-missing-idsupplement","Where is your id supplement?","身分証明補足書は？"
"speech:missing-idsupplement","I never got one.","もらってないです。"
"speech:missing-idsupplement","What is a supplement?","補足書とは何ですか？"
"speech:missing-idsupplement","This was not provided to me.","私に配られていませんでした。"
"speech:ask-missing-asylumgrant","You have no grant for asylum.","亡命の認可証がありませんね。"
"speech:ask-missing-asylumgrant","Where is your asylum grant?","亡命認可証は？"
"speech:missing-asylumgrant","I could not secure one in time.","時間のうちにもらうことができなかった。"
"speech:missing-asylumgrant","I have none.","ありません。"
"speech:missing-asylumgrant","What is that?","それは何ですか？"
"speech:ask-missing-accesspermit","Where is the access permit?","入境許可証は？"
"speech:ask-missing-accesspermit","You have no access permit.","入境許可証がありませんね。"
"speech:ask-missing-accesspermit","The access permit is missing.","入境許可証が足りません。"
"speech:ask-wrong-name","These names do not match.","氏名が一致していません。"
"speech:wrong-name","I have two different names.","2つの違った名前があります。"
"speech:wrong-name","I have multiple names.","複数の名前があるんです。"
"speech:wrong-name","My name was changed recently.","名前を最近変えました。"
"speech:ask-wrong-workend","You are not authorized to work this long.","この期間に働くことは認められていません。"
"speech:ask-wrong-workend","This work pass expires before your visit.","この労働許可証は入国前に期限が切れます。"
"speech:wrong-workend","I will renew the pass soon.","通ってすぐに新しいものにします。"
"speech:wrong-workend","I am planning to renew it.","新しいものにする予定があります。"
"speech:wrong-workend","My entry permit is longer than I need.","入国許可証が必要よりも長いです。"
"speech:ask-wrong-idnumber","These numbers do not match.","番号が一致しません。"
"speech:ask-wrong-idnumber","There is a discrepancy here.","ここが一致しませんね。"
"speech:ask-wrong-idnumber","There are two different numbers here.","それぞれ別の番号が記載されていますが。"
"speech:wrong-idnumber","It must be a mistake. The document is valid.","間違いに違いないです。書類は正しいです。"
"speech:wrong-idnumber","Check again.","もう一回見て。"
"speech:ask-wrong-face","This does not look like you.","この写真はあなたに見えませんね。"
"speech:ask-wrong-face","Your picture. It is different.","写真と違いますね。"
"speech:ask-wrong-face","Your appearance has changed.","見た目が変わりましたね。"
"speech:wrong-face","It is an old picture.","それは古い写真です。"
"speech:wrong-face","I had surgery.","手術をしました。"
"speech:wrong-face","The years have been cruel.","年月はおそろしいです。"
"speech:wrong-face","I do not know what to say. It is me.","何と言えばいいか。それは私です。"
"speech:ask-wrong-issuingcity","This issuing city is incorrect.","ISSに誤りがあります。"
"speech:ask-wrong-issuingcity","Your passport has false information.","パスポートに誤った情報があります。"
"speech:ask-wrong-gender","You are a man?","男性ですか？"
"speech:ask-wrong-gender","It says here that you are male.","ここには男性と記載されていますが。"
"speech:ask-wrong-gender","You are a woman?","女性ですか？"
"speech:ask-wrong-gender","Your passport says you are female.","パスポートには女性と記載されていますが。"
"speech:ask-wrong-gender","Are you a woman or a man?","あなたは女性ですか、男性ですか。"
"speech:ask-wrong-gender","You are male or female?","男性ですか、女性ですか？"
"speech:wrong-gender","The passport is correct.","パスポートは正しいです。"
